column1,Days_for_shipping_real,Days_for_shipment_scheduled,Delivery_Status,Late_delivery_risk,shipping_date_DateOrders,Shipping_Mode,Market,Order_Id
2,4,4,Shipping on time,0,2018-01-17 12:06:00.0000000,Standard Class,Pacific Asia,75938
19,0,0,Shipping on time,0,2018-01-13 18:09:00.0000000,Same Day,Pacific Asia,75921
20,0,0,Shipping on time,0,2018-01-13 17:48:00.0000000,Same Day,Pacific Asia,75920
27,4,4,Shipping on time,0,2018-01-17 03:21:00.0000000,Standard Class,Pacific Asia,75913
32,4,4,Shipping on time,0,2018-01-17 01:36:00.0000000,Standard Class,Pacific Asia,75908
42,4,4,Shipping on time,0,2018-01-16 22:05:00.0000000,Standard Class,Pacific Asia,75898
47,4,4,Shipping on time,0,2018-01-16 20:20:00.0000000,Standard Class,Pacific Asia,75893
49,2,2,Shipping on time,0,2016-10-27 14:39:00.0000000,Second Class,Pacific Asia,45461
51,2,2,Shipping on time,0,2016-11-01 01:31:00.0000000,Second Class,Pacific Asia,45766
55,2,2,Shipping on time,0,2016-06-13 15:12:00.0000000,Second Class,USCA,36146
59,2,2,Shipping on time,0,2016-10-06 22:55:00.0000000,Second Class,Africa,44046
64,2,2,Shipping on time,0,2017-07-24 07:16:00.0000000,Second Class,Europe,63936
67,2,2,Shipping on time,0,2017-07-04 09:03:00.0000000,Second Class,Europe,62571
84,2,2,Shipping on time,0,2015-03-31 10:33:00.0000000,Second Class,LATAM,5991
90,4,4,Shipping on time,0,2015-04-07 19:08:00.0000000,Standard Class,LATAM,6358
96,4,4,Shipping on time,0,2017-02-09 01:01:00.0000000,Standard Class,LATAM,52478
100,4,4,Shipping on time,0,2015-03-01 20:46:00.0000000,Standard Class,LATAM,3828
102,4,4,Shipping on time,0,2015-01-19 04:32:00.0000000,Standard Class,LATAM,973
105,4,4,Shipping on time,0,2017-04-24 18:47:00.0000000,Standard Class,LATAM,57598
107,4,4,Shipping on time,0,2017-06-08 16:06:00.0000000,Standard Class,LATAM,60673
112,4,4,Shipping on time,0,2017-04-07 23:53:00.0000000,Standard Class,LATAM,56448
115,4,4,Shipping on time,0,2015-02-06 03:27:00.0000000,Standard Class,LATAM,2203
119,4,4,Shipping on time,0,2015-05-11 15:56:00.0000000,Standard Class,LATAM,8678
145,2,2,Shipping on time,0,2017-10-15 08:44:00.0000000,Second Class,Europe,69626
149,2,2,Shipping on time,0,2017-11-05 03:58:00.0000000,Second Class,Europe,71051
153,2,2,Shipping on time,0,2017-10-15 13:59:00.0000000,Second Class,Europe,69641
165,2,2,Shipping on time,0,2017-10-13 02:26:00.0000000,Second Class,Europe,69471
193,4,4,Shipping on time,0,2016-10-24 03:59:00.0000000,Standard Class,Africa,45088
200,4,4,Shipping on time,0,2016-09-09 10:10:00.0000000,Standard Class,Africa,42023
203,4,4,Shipping on time,0,2016-11-23 21:27:00.0000000,Standard Class,Africa,47193
206,4,4,Shipping on time,0,2016-12-12 12:08:00.0000000,Standard Class,Africa,48468
213,4,4,Shipping on time,0,2016-11-26 02:00:00.0000000,Standard Class,Africa,47343
216,4,4,Shipping on time,0,2016-02-20 04:09:00.0000000,Standard Class,Pacific Asia,28168
221,4,4,Shipping on time,0,2016-01-07 07:22:00.0000000,Standard Class,Pacific Asia,25163
225,4,4,Shipping on time,0,2016-09-21 04:12:00.0000000,Standard Class,Pacific Asia,42828
226,4,4,Shipping on time,0,2016-12-16 01:59:00.0000000,Standard Class,Pacific Asia,48713
227,4,4,Shipping on time,0,2016-11-01 15:11:00.0000000,Standard Class,Pacific Asia,45668
229,4,4,Shipping on time,0,2016-02-16 12:34:00.0000000,Standard Class,Pacific Asia,27918
232,4,4,Shipping on time,0,2016-03-18 20:03:00.0000000,Standard Class,Pacific Asia,30063
235,4,4,Shipping on time,0,2016-09-14 05:47:00.0000000,Standard Class,Pacific Asia,42353
239,4,4,Shipping on time,0,2016-01-11 05:57:00.0000000,Standard Class,Pacific Asia,25433
240,4,4,Shipping on time,0,2017-12-18 15:39:00.0000000,Standard Class,Pacific Asia,73893
243,4,4,Shipping on time,0,2016-02-10 02:25:00.0000000,Standard Class,Pacific Asia,27478
245,4,4,Shipping on time,0,2015-12-22 05:59:00.0000000,Standard Class,Pacific Asia,24063
248,4,4,Shipping on time,0,2017-12-30 18:26:00.0000000,Standard Class,Pacific Asia,74723
251,4,4,Shipping on time,0,2016-09-03 08:47:00.0000000,Standard Class,Pacific Asia,41608
255,4,4,Shipping on time,0,2017-11-28 19:11:00.0000000,Standard Class,Pacific Asia,72533
256,4,4,Shipping on time,0,2016-12-14 13:11:00.0000000,Standard Class,Africa,48608
259,4,4,Shipping on time,0,2016-11-10 23:24:00.0000000,Standard Class,Africa,46308
261,4,4,Shipping on time,0,2016-09-07 12:38:00.0000000,Standard Class,Africa,41893
267,4,4,Shipping on time,0,2016-10-24 21:30:00.0000000,Standard Class,Africa,45138
289,4,4,Shipping on time,0,2017-09-09 10:32:00.0000000,Standard Class,Europe,67028
293,4,4,Shipping on time,0,2017-09-09 00:02:00.0000000,Standard Class,Europe,66998
304,4,4,Shipping on time,0,2017-04-10 11:27:00.0000000,Standard Class,LATAM,56618
308,4,4,Shipping on time,0,2017-05-09 17:53:00.0000000,Standard Class,LATAM,58623
310,4,4,Shipping on time,0,2015-03-24 01:17:00.0000000,Standard Class,LATAM,5348
312,4,4,Shipping on time,0,2017-05-22 12:26:00.0000000,Standard Class,LATAM,59498
322,4,4,Shipping on time,0,2015-04-01 00:13:00.0000000,Standard Class,LATAM,5893
323,4,4,Shipping on time,0,2015-03-26 16:21:00.0000000,Standard Class,LATAM,5528
325,4,4,Shipping on time,0,2017-02-07 05:14:00.0000000,Standard Class,LATAM,52353
331,4,4,Shipping on time,0,2017-06-11 12:25:00.0000000,Standard Class,LATAM,60868
336,4,4,Shipping on time,0,2017-03-10 09:13:00.0000000,Standard Class,LATAM,54488
346,4,4,Shipping on time,0,2018-01-16 18:35:00.0000000,Standard Class,Pacific Asia,75888
356,4,4,Shipping on time,0,2018-01-16 15:05:00.0000000,Standard Class,Pacific Asia,75878
361,4,4,Shipping on time,0,2018-01-16 13:20:00.0000000,Standard Class,Pacific Asia,75873
367,0,0,Shipping on time,0,2018-01-12 23:14:00.0000000,Same Day,Pacific Asia,75867
368,0,0,Shipping on time,0,2018-01-12 22:53:00.0000000,Same Day,Pacific Asia,75866
369,0,0,Shipping on time,0,2018-01-12 22:32:00.0000000,Same Day,Pacific Asia,75865
371,4,4,Shipping on time,0,2018-01-16 09:50:00.0000000,Standard Class,Pacific Asia,75863
378,2,2,Shipping on time,0,2018-01-14 07:23:00.0000000,Second Class,Pacific Asia,75856
398,2,2,Shipping on time,0,2018-01-14 00:22:00.0000000,Second Class,Pacific Asia,75836
406,4,4,Shipping on time,0,2018-01-15 21:34:00.0000000,Standard Class,Pacific Asia,75828
411,4,4,Shipping on time,0,2018-01-15 19:49:00.0000000,Standard Class,Pacific Asia,75823
416,4,4,Shipping on time,0,2018-01-15 18:04:00.0000000,Standard Class,Pacific Asia,75818
436,4,4,Shipping on time,0,2018-01-15 11:03:00.0000000,Standard Class,Pacific Asia,75798
439,2,2,Shipping on time,0,2016-12-25 21:03:00.0000000,Second Class,Pacific Asia,49521
442,2,2,Shipping on time,0,2016-04-03 20:01:00.0000000,Second Class,Pacific Asia,31296
443,2,2,Shipping on time,0,2015-11-21 05:51:00.0000000,Second Class,Pacific Asia,22076
449,2,2,Shipping on time,0,2016-05-22 12:25:00.0000000,Second Class,USCA,34631
453,2,2,Shipping on time,0,2016-10-17 12:55:00.0000000,Second Class,Africa,44771
455,2,2,Shipping on time,0,2015-09-09 04:22:00.0000000,Second Class,Europe,17071
456,2,2,Shipping on time,0,2015-06-17 05:54:00.0000000,Second Class,Europe,11321
457,2,2,Shipping on time,0,2015-06-26 05:21:00.0000000,Second Class,Europe,11936
459,2,2,Shipping on time,0,2016-10-31 18:30:00.0000000,Second Class,Europe,45746
460,2,2,Shipping on time,0,2015-07-22 11:58:00.0000000,Second Class,Europe,13736
463,2,2,Shipping on time,0,2017-01-29 18:23:00.0000000,Second Class,LATAM,51911
470,2,2,Shipping on time,0,2017-03-23 07:37:00.0000000,Second Class,LATAM,55511
475,2,2,Shipping on time,0,2015-12-28 23:29:00.0000000,Second Class,Pacific Asia,24661
487,2,2,Shipping on time,0,2015-08-21 03:10:00.0000000,Second Class,Europe,15766
495,2,2,Shipping on time,0,2017-01-19 18:23:00.0000000,Second Class,Europe,51226
496,2,2,Shipping on time,0,2017-02-08 11:21:00.0000000,Second Class,LATAM,52576
498,2,2,Shipping on time,0,2015-08-16 02:18:00.0000000,Second Class,Europe,15421
510,2,2,Shipping on time,0,2015-06-10 02:13:00.0000000,Second Class,Europe,10831
512,2,2,Shipping on time,0,2017-11-08 09:03:00.0000000,Second Class,Europe,71271
515,2,2,Shipping on time,0,2015-08-31 01:24:00.0000000,Second Class,Europe,16446
519,2,2,Shipping on time,0,2015-08-04 20:32:00.0000000,Second Class,Europe,14651
533,2,2,Shipping on time,0,2017-08-08 23:53:00.0000000,Second Class,Europe,65011
543,2,2,Shipping on time,0,2015-08-03 09:30:00.0000000,Second Class,Europe,14551
548,2,2,Shipping on time,0,2017-08-29 10:22:00.0000000,Second Class,Europe,66411
567,2,2,Shipping on time,0,2017-08-28 13:21:00.0000000,Second Class,Europe,66351
589,4,4,Shipping on time,0,2015-05-03 13:29:00.0000000,Standard Class,LATAM,8123
592,4,4,Shipping on time,0,2015-02-09 10:17:00.0000000,Standard Class,LATAM,2428
595,4,4,Shipping on time,0,2015-06-01 14:41:00.0000000,Standard Class,LATAM,10113
604,4,4,Shipping on time,0,2017-04-17 22:07:00.0000000,Standard Class,LATAM,57128
605,4,4,Shipping on time,0,2015-05-12 09:27:00.0000000,Standard Class,LATAM,8728
638,4,4,Shipping on time,0,2016-01-11 00:42:00.0000000,Standard Class,Pacific Asia,25418
640,4,4,Shipping on time,0,2016-09-18 16:38:00.0000000,Standard Class,Pacific Asia,42658
646,4,4,Shipping on time,0,2015-11-21 17:46:00.0000000,Standard Class,Pacific Asia,21973
650,4,4,Shipping on time,0,2015-11-10 08:30:00.0000000,Standard Class,Pacific Asia,21193
651,4,4,Shipping on time,0,2016-01-20 14:10:00.0000000,Standard Class,Pacific Asia,26073
657,4,4,Shipping on time,0,2016-10-21 23:25:00.0000000,Standard Class,Africa,44938
658,4,4,Shipping on time,0,2017-01-13 21:54:00.0000000,Standard Class,Africa,50688
660,4,4,Shipping on time,0,2016-12-04 18:27:00.0000000,Standard Class,Africa,47938
698,4,4,Shipping on time,0,2015-10-11 22:33:00.0000000,Standard Class,Europe,19178
